"File Name","Chapter","Title"
"user-admin-account.txt","Managing User Accounts","Concept: The User 1 Account"
"user-new-role.txt","Managing User Accounts","Creating a Role"
"user-new-user.txt","Managing User Accounts","Creating a User Account"
"user-permissions.txt","Managing User Accounts","Assigning Permissions to a Role"
"user-roles.txt","Managing User Accounts","Changing a User's Roles"
"user-content.txt","Managing User Accounts","Assigning Authors to Content"
"block-concept.txt","Blocks","Concept: Blocks"
"block-create-custom.txt","Blocks","Creating a Custom Block"
"block-place.txt","Blocks","Placing a Block in a Region"
"views-concept.txt","Creating Listings with Views","Concept: Uses of Views"
"views-parts.txt","Creating Listings with Views","Concept: The Parts of a View"
"views-create.txt","Creating Listings with Views","Creating a Content List View"
"views-duplicate.txt","Creating Listings with Views","Duplicating a View"
"views-block.txt","Creating Listings with Views","Adding a Block Display to a View"
"language-add.txt","Making Your Site Multilingual","Adding a Language"
"language-content-config.txt","Making Your Site Multilingual","Configuring Content Translation"
"language-content-translate.txt","Making Your Site Multilingual","Translating Content"
"language-config-translate.txt","Making Your Site Multilingual","Translating Configuration"
"extend-module-find.txt","Extending and Customizing Your Site","Finding Modules"
"extend-maintenance.txt","Extending and Customizing Your Site","Enabling and Disabling Maintenance Mode"
"extend-module-install.txt","Extending and Customizing Your Site","Downloading and Installing a Module from Drupal.org"
"extend-theme-find.txt","Extending and Customizing Your Site","Finding Themes"
"extend-theme-install.txt","Extending and Customizing Your Site","Downloading and Installing a Theme from Drupal.org"
"extend-manual-install.txt","Extending and Customizing Your Site","Manually Downloading Module or Theme Files"
"install-dev-sites.txt","Extending and Customizing Your Site","Concept: Development Sites"
"install-dev-making.txt","Extending and Customizing Your Site","Making a Development Site"
"extend-deploy.txt","Extending and Customizing Your Site","Deploying New Site Features"
"extend-config-versions.txt","Extending and Customizing Your Site","Synchronizing Configuration Versions"
"extend-git.txt","Extending and Customizing Your Site","Managing File and Configuration Revisions with Git"
"prevent-cache.txt","Preventing and Fixing Problems","Concept: Cache"
"prevent-cache-clear.txt","Preventing and Fixing Problems","Clearing the Cache"
"prevent-backups.txt","Preventing and Fixing Problems","Concept: Data Backups"
"prevent-log.txt","Preventing and Fixing Problems","Concept: Log"
"prevent-status.txt","Preventing and Fixing Problems","Concept: Status report"
"security-cron-concept.txt","Security and Maintenance","Concept: Cron"
"security-cron.txt","Security and Maintenance","Configuring Cron Maintenance Tasks"
"security-concept.txt","Security and Maintenance","Concept: Security and Regular Updates"
"security-announce.txt","Security and Maintenance","Keeping Track of Updates"
"security-update-core.txt","Security and Maintenance","Updating the Core Software"
"security-update-module.txt","Security and Maintenance","Updating a Module"
"security-update-theme.txt","Security and Maintenance","Updating a Theme"
"thoughts-connecting.txt","Final Thoughts","Connecting with the Community"
"thoughts-support.txt","Final Thoughts","Getting Support"
"thoughts-learn-more.txt","Final Thoughts","Learning More"
"glossary.txt","Glossary","Glossary"
"attributions.txt","Appendix","Guide-Wide Attributions"
